ID,album,year,tracknum,title,writers,length,lengthS,lyrics,
11,Identity Crisis,2000,11,T & C,Dustin Kensrue,4M 0S,240S,In my head everything was perfect <br> and every note resounds in harmony <br> all I seem to offer up are discords <br> and every note I sing sounds out of key <br> and every time I play with passion <br> I start breaking strings <br> and my voice cracks <br> when I sing from my heart <br> guess that's the price <br> I've got to pay to know that I'm alive <br> this melody is tearing me apart <br> So now what do I have to show <br> and what price do I have to pay <br> But like a saiyan I won't grow <br> unless I'm battered in the fray <br> 'Cause we're all in the same machine <br> each one with his own broken dreams <br> passion gives way to failure <br> so let's all try and understand <br> you take my hand and I'll take yours <br> you take my hand and I'll take yours <br> take my hand and I'll take yours <br> let our passion bleed,
12,The Illusion Of Safety,2002,1,Kill Me Quickly,Dustin Kensrue,2M 46S,166S,"Can we, <br> can we kill each other quickly? <br> Quick enough so I won't feel it? <br> A shot of strobe light anesthia <br> and I'll be fine <br> 'Cause I'm beginning to feel cold <br> My hands are shaking from fear, <br> white from clutching my pride, <br> red from cutting you, <br> and blue from telling lies. <br> 'Cause I'm sick of the stabbing, <br> I'm sick of the breaking, <br> I'm sick of the bleeding until we fall down, <br> sick of this circle of death that we dance through <br> again and again, just lay me in the ground. <br> Let's fall asleep together, <br> hold me darling 'cause I'm scared, <br> and I can't do this alone. <br> But I need! <br> your heartbeat <br> to haunt me, <br> your cold lips to breathe, <br> a promise that, tomorrow <br> we'll wake up somewhere new. ",
13,The Illusion Of Safety,2002,2,A Subtle Dagger,Dustin Kensrue,1M 48S,108S,"it infiltrates, <br> insidious, <br> it feigns at love, <br> betrays our trust <br> in what we've known, <br> since we were born. <br> the truth we've found in all we see <br> points to design, <br> still our chests swell, <br> we'll never find <br> true answers from a wishing well. <br> so feed us all <br> another lie, <br> to steal our thoughts, <br> appease our pride, <br> so we wont have <br> to change the way we see, we live, we love, we die, <br> our lust precedes <br> our blasphemy, <br> our logic reads <br> like notes from tainted autopsy. <br> our souls they speak of something more, <br> but we cant look beyond ourselves. <br> we implore empty skies because <br> our hearts hold room for no one else, <br> we extend our <br> 
claws to grasp at shadows of the <br> ideals we have, <br> lost causalities of a subtle dagger, <br> buried to the <br> hilt in our hearts, blood on our hands.",
14,The Illusion Of Safety,2002,3,See You In The Shadows,Dustin Kensrue,2M 35S,155S,"I hear the waves crash far below, <br> the rocks are leaping for the sky, <br> they're starving for the air, <br> for a bone to break, a dream to smash apart, <br> but I don't care. <br> It looks deep enough from here, I'm diving <br> this cliff has been well worn by ignorance. <br> It looks deep enough from here, I'm diving <br> they float face down they all look so content. <br> I don't know why I'm even here. <br> Guess I'm afraid to be alone. <br> And down below I see my crew they look okay <br> that can't be blood the water here <br> is far too blue <br> and gravity <br> seems far away <br> but I can hear her call my name <br> it's so comforting to know I'll never have to think again <br> It looks deep enough from here, I'm diving <br> this cliff has been well worn by ignorance. <br> It looks deep enough from here, I'm diving <br> we float face down, and don't we look content? <br> It looks deep enough from here, I'm diving <br> this cliff has been well worn by ignorance. <br> It looks deep enough from here, I'm diving <br> we float face down, and don't we all look so content? <br> It looks deep enough from here <br> It looks deep enough from here",
15,The Illusion Of Safety,2002,4,Betrayal Is A Symptom,Dustin Kensrue,2M 49S,169S,"Faith, <br> is not something that I grasp <br> it's something that I fake, <br> as I'm slipping, as I'm falling through the cracks, <br> Faith <br> without actions is a mask, <br> for making the same mistakes <br> as I'm slipping as I'm falling through the cracks. <br> somehow I find beauty in our failings, <br> somehow I find meaning in these lies <br> somehow I'm made perfect in this fracture, <br> your back is begging sweetly for my knives, <br> I'm spilling blood, <br> glancing down to hide my face, <br> I walk with eyes closed tight through monuments of grace, <br> somehow I find beauty in our failings, <br> somehow I find meaning in these lies <br> somehow I'm made perfect in this fracture, <br> your back is begging sweetly for my knives! <br> my faith is a front, I'm spilling blood, <br> glancing down to hide my face, I walk with eyes closed <br> through monuments of grace, I'm spilling blood <br> glancing down to hide my face I walk with eyes closed <br> through monuments of grace <br> isn't it sweet how, <br> trusted with angels, <br> and how so quickly <br> I break my promises? <br> isn't it sweet, isn't it sweet, isn't it sweet, isn't it sweet? ",
16,The Illusion Of Safety,2002,5,Deadbolt,Dustin Kensrue,3M 0S,180S,"when deadbolts awake you from deja vu dreams, <br> at four in the morning you know where I'll be. <br> out running red lights asleep at the wheel. <br> the sirens feed my nightmares, <br> I just close my eyes and I'm already here; <br> its already too late. <br> I know its nothing but lies, <br> but they sound so sincere; <br> I find them too hard to hate. <br> and she calls from the doorway ""stolen water is sweet, <br> so let's drink it in the darkness if you know what I mean"" <br> and she calls from the doorway ""stolen water is sweet, <br> so let's drink it in the darkness if you know what I mean"" <br> and I'm almost sure <br> that I've been here before, <br> that this is not the first time I've stood in front of this door, <br> with an overwhelming feeling that I shouldn't go in, <br> but it seems this is a battle that I never could win. <br> and you! <br> my true love! <br> you call from the hilltop. <br> you call through the streets, <br> ""Darling don't you know, <br> the water is poison."" <br> and I say! <br> ""Come on and give me my poison."" <br> what have I done? <br> is it too late to save me from this place? <br> from the depths of the grave? <br> we all are those <br> who thought we were brave. <br> what have I done?",
17,The Illusion Of Safety,2002,6,In Years To Come,Dustin Kensrue,2M 16S,136S,"i want to take the bullet, <br> the one aimed straight for your heart, <br> i want to meet the wolves halfway, <br> and let them tear me apart. <br> but that's not the way they do it here. <br> i want to lay on the tracks, <br> feel hot steel screaming at me, <br> expose the bones on my back, <br> let me show you what i mean. <br> yeah its a different kind of love, <br> i want to climb barbed wire fences <br> and warm our hands in blood. <br> and this is my gift, <br> is asking you to fix <br> my ruined hands. <br> and its a gift that keeps on giving, <br> and its a gift that keeps on giving, <br> and its a gift that keeps on giving, <br> and right now its all i have to give. <br> i want to lay on the tracks, <br> feel hot steel screaming at me, <br> expose the bones on my back, <br> let me show you what i mean <br> i want to lay on the tracks, <br> feel hot steel screaming at me, <br> expose the bones on my back, <br> let me show you what i mean <br> i want to write the perfect song, <br> and play it just for you, <br> while you are tangled up in sleep. <br> i need you more than ill ever know <br> until i stop breathing <br> my lungs will take you for granted. ",
18,The Illusion Of Safety,2002,7,The Red Death,Dustin Kensrue,2M 14S,134S,"entertain the hope that somehow you'll escape me <br> weld the bolts and close the iron gate <br> drink deeply the illusion of safety, <br> my how wishful thoughts inebriate, <br> masquerade and revel in your opulence. <br> writhe unfettered by your stabs at ignorance. <br> swim through hues and whispered tones of heresy, <br> a dozen strokes to run your blood cold enough to believe <br> remember me? <br> you look so surprised to see me here, <br> with hells black wings id i overperch these walls, <br> for stony limits cannot hold me out, <br> and now <br> you <br> all <br> die ",
19,The Illusion Of Safety,2002,8,A Living Dance Upon Dead Minds,Dustin Kensrue,3M 32S,212S,"love everywhere, <br> exploding, maims and blinds, <br> a living dance upon dead minds, <br> love everywhere, <br> exploding, maims and blinds, <br> a living dance upon dead minds <br> but surely does not forget (perish), <br> sleep, cannot be photographed (measured); <br> disdains the trivial labeling of punctual brains, <br> but surely does not forget (perish), <br> sleep, cannot be photographed (measured); <br> disdains the trivial labeling of punctual brains, <br> why its love; <br> but at the earliest spear <br> of sun <br> perfectly should disappear <br> who wields a poem huger than the grave? <br> who wields a poem huger than the grave? <br> who wields a poem huger than the grave? <br> (who wields a poem huger than the grave?) <br> who wields a poem huger than the grave? <br> (who wields a poem huger than the grave?) <br> but surely does not forget (perish), <br> sleep, cannot be photographed (measured); <br> disdains the trivial labeling of punctual brains, <br> 
but surely does not forget (perish), <br> sleep, cannot be photographed (measured); <br> disdains the trivial labeling of punctual brains, <br> but surely does not forget (perish), <br> sleep, cannot be photographed (measured); <br> disdains the trivial labeling of punctual brains, <br> but surely does not forget (perish), <br> sleep, cannot be photographed (measured); <br> disdains the trivial labeling of punctual brains",
20,The Illusion Of Safety,2002,9,Where Idols Once Stood,Dustin Kensrue,3M 8S,188S,"our idols lay in ruins <br> we'd have saved them if we could <br> but we still choose to worship <br> the places where our idols stood. <br> still believing <br> they can save us, <br> I've lived this way too long to turn back now <br> Presuppositions set in stone <br> this coffin sealed by my own pride, <br> and though it seems the sun will shine, <br> ill draw the shades and stay inside. <br> if we've learned anything at all, <br> its that the ghosts of idols will do just as well <br> we all see what we want to anyway, anyway <br> some things <br> are better left unsaid. <br> you know what's at stake <br> something's are better left unsaid <br> as long as we keep it <br> in textbooks, then well be untouchable, untouchable <br> we hate to lie to children, <br> but after all its all <br> for their own good.",
21,The Illusion Of Safety,2002,10,Trust,Dustin Kensrue,2M 54S,174S,"mix the chemicals right dear, mix the chemicals right <br> yeah the margin of error is slight <br> mix the chemicals right dear <br> mix the chemicals right <br> yeah you know that you could <br> save my life <br> there is a risk, there's a risk when your dealing with love <br>  you could snap my neck <br> any speed you drive can be dangerous <br> mix the chemicals right dear, mix the chemicals right <br> yeah you know there's a fine line between <br> mix the chemicals right dear, mix the chemicals right <br> cause i know what betrayal can mean <br> when this frame fails me <br> will i trust you to carry me through? <br> i know there's no such thing as safety <br> but i know what a promise can do. <br> will i trust you, will i trust you to carry me through? <br> i will trust you, cause i know what a promise can do ",
22,The Illusion Of Safety,2002,11,To Awake And Avenge The Dead,Dustin Kensrue,3M 6S,186S,"old friend they told me you were dead <br> the news broadcast the funeral <br> 500 channels focus in <br> your love was <br> ravished drawn and quartered, <br> the soil was swift to drink her blood. <br> this violence in the name of love! <br> but i still feel you, <br> despite your tombstone, <br> but i still feel you, <br> despite your tombstone, <br> so friend you must still walk among us, <br> in places we don't dare to glance <br> i saw you killing Aristotle <br> but i know it's all part of the plan. <br> old friend they told me you were dead <br> the news broadcast the funeral <br> 500 channels focus in <br> your love was <br> ravished drawn and quartered, <br> the soil was swift to drink her blood. <br> this violence in the name of love! <br> old friend they told me you were dead <br> the news broadcast the funeral <br> 500 channels focus in <br> your love was <br> ravished drawn and quartered, <br> the soil was swift to drink her blood. <br> this violence, this violence, this violence in the name of love! <br> To <br> awake <br> and <br> avenge the dead! <br> to <br> awake <br> and, <br> avenge the dead! ",
23,The Illusion Of Safety,2002,12,So Strange I Remember You,Dustin Kensrue,3M 42S,242S,"So strange I remember you in protest of a prayer, <br> and falling back from seas we fear to sail. <br> I swear I saw the shooter, gold teeth and a double dare, <br> Postmodern warnings seem inclined to fail. <br> Feigning an apology. <br> Those words they never left your lips. <br> Those 5 years in Bermuda slide by like the lights of passing ships, <br> So strange that I remember you, <br> kneeling deep in Nietzsche's lies <br> my throat was an open grave i drank your stained glass eyes <br> and they taste like dead cathedrals <br> that are crumbling beneath a weight, ten thousand jaded tourists <br> who've traded in their hearts and hands for <br> disposable cameras, set to document to decay, <br> set to capture just enough of life to catalogue the things we throw away. <br> (...breathing the fumes of our machines...) <br> We've lost our way. <br> (...breathing through television dreams...) <br> If we could only see us now. <br> If we could only see us now. <br> The words of the dead ring in our ears, <br> but its only a lie. <br> The voice in your head brings you to tears, <br> but you don't know why. <br> The words of the dead ring in our ears, <br> but its only a lie. <br> The voice in your head brings you to tears, <br> but its only a lie, <br> yes, its only a lie, <br> ...isn't it? ",
24,The Illusion Of Safety,2002,13,The Beltsville Crucible,Dustin Kensrue,4M 37S,277S,"true friends stab you in the front <br> keep you from getting what you want <br> when one more fix could kill you <br> they help you realize that <br> you're more and less than you first had believed <br> you've so much to give and there's so much you need <br> shortcuts through graveyards and a brand new way to breathe <br> three thousand miles just to learn, <br> all that's gold does not all shine... <br> and helping words aren't always kind, <br> when one more kiss could kill you, <br> they help you realize that <br> you're more and less than you first had believed <br> you've so much to give and there's so much you need <br> shortcuts through graveyards and a brand new way to breathe <br> three thousand miles just to learn. <br> how to let my guard down <br> accept the fire has spread among us. <br> and if you're feeling all right, <br> you've got to play it again, <br> you've got to play it again.  ",
25,The Artist In The Ambulance,2003,1,Cold Cash And Colder Hearts,Dustin Kensrue,2M 52S,172S,"They are sick, they are poor <br> And they die by the thousands and we look away <br> They are wolves at the door <br> And they're not gonna move us or get in our way <br> 'Cause we don't have the time <br> Here at the top of the world <br> Feeling alright <br> Here at the top of the world <br> We hold our own by keeping our hearts cold <br> Different god, darker skin <br> They are just not a burden that we'd like to bear <br> They are living in ""sin"" <br> There are so many reasons for us not to care <br> But I'm feeling alright Here at the top of the world <br> Doing just fine <br> Here at the top of the world <br> We've learned money matters most <br> So we keep our cards held close <br> Here at the top of the world <br> We hold our own by keeping our hearts cold <br> And we've learned what matters most <br> So we keep our hearts cold <br> They are no one <br> They are nowhere <br> They are not our problem <br> Not worth saving <br> Nonexistent if we keep our hearts cold <br> They are no one <br> They are nowhere ",
26,The Artist In The Ambulance,2003,2,Under A Killing Moon,Dustin Kensrue,2M 41S,161S,"The air my lungs first loved <br> Carves craters from my eyes <br> They said ""breathe deeply son <br> Or be the next to die"" <br> Beneath the falling night <br> And heaven's shutting gate <br> Pray keep your tongue held tight <br> Or suffer the same fate <br> The blood on our black gloves <br> It is none of your concern <br> If you want to call our bluff <br> Get in line and wait your turn <br> And watch the witches burn"" <br> Don't flinch when innocents <br> Are dancing with the flame <br> If they wanted to live <br> They'd learn to play the game <br> You can still walk away <br> If you just hold your tongue <br> If you'd just walk away <br> You'd live to see the sun but"" <br> Under this killing moon <br> Under this burning sky <br> The fire's shining groom <br> I hold my breath and close my eyes <br> ""The blood on our black gloves <br> It is none of your concern <br> If you want to call our bluff <br> Get in line and wait your turn <br> And watch the witches burn <br> We'll watch the witches burn"" ",
27,The Artist In The Ambulance,2003,3,All That's Left,Dustin Kensrue,3M 20S,200S,"One day the dreamers died within us <br> When all our answers never came <br> We hid the truth beneath our skin but <br> Our shadows never looked the same <br> A ghost is all that's left <br> Of everything we swore we never would forget <br> We tried to bleed the sickness <br> But we drained our hearts instead <br> We are, we are the dead <br> And when we couldn't stop the bleeding <br> We held our hearts over the flame <br> We couldn't help but call it treason <br> After that we couldn't fill our frames <br> After that our shadows never looked the same <br> A ghost is all that's left <br> Of everything we swore we never would forget <br> We tried to bleed the sickness <br> But we drained our hearts instead <br> We are, we are the dead <br> In summers past we'd challenge fate <br> With higher pitch and perfect aim <br> And standing fast, we'd radiate <br> A light we loved but never named <br> But the answers never came <br> And our shadows never looked the same <br> A ghost is all that's left (we are the ones who lost our faith) <br> Of everything we swore we never would forget (can we be saved?) <br> We tried to bleed the sickness <br> But we drained our hearts instead <br> We are, we are the dead (we are the ones who lost our faith) <br> A ghost of everything we thought but never said (can we be saved?) <br> We tried to bleed the sickness <br> But we drained our hearts instead <br> We are the ones who lost our faith <br> We dug ourselves an early grave <br> We are the dead, can we be saved? ",
28,The Artist In The Ambulance,2003,4,Silhouette,Dustin Kensrue,3M 6S,186S,"Your eyes, followed me here. <br> Your eyes, seamless and sure. <br> They leave me broken and, in need of a cure. <br> Your eyes, followed me here. <br> Your eyes, sifting my soul. <br> They leave me broken and forge diamonds from the coal. <br> They race me along <br> the infinite synapse of white lines. <br> and then while chasing the dawn <br> with storybook syntax <br> Your eyes slit the throat, of all I know. <br> About myself in this life. <br> This silhouette lie. <br> And your eyes, speaking in tongues. <br> Vigilant still, filling my lungs. <br> Testing my will. <br> They leave me broken and, bruised and bleeding. <br> Your eyes, resting in flame, <br> Leave me breathless again <br> Like hydrogen <br> Split on faultlines <br> or ten years living with <br> exposure to radon <br> Your eyes slit the throat, of all I know. <br> About myself in this life. <br> This silhouette lie. <br> Your eyes, Your eyes. <br> Speaking in tongues. <br> Vigilant still, lead our way. <br> Filling my lungs. <br> testing my will. <br> You slit the throat, of all I know. <br> About myself in this life. <br> This silhouette lie. <br> You slit my throat. <br> Because I know, <br> That this life, is a lie. <br> So slit my throat. ",
29,The Artist In The Ambulance,2003,5,Stare At The Sun,Dustin Kensrue,3M 23S,203S,"I sit here clutching useless lists, <br> keys for doors that don't exist <br> I crack my teeth on pearls <br> I tear into the history <br> Show me what it means to me in this world <br> Yeah, in this world <br> 'Cause I am due for a miracle <br> I'm waiting for a sign <br> I'll stare straight into the sun <br> And I won't close my eyes <br> Till I understand or go blind <br> I see the parts but not the whole <br> I study saints and scholars both <br> No perfect plan unfurls <br> Do I trust my heart or just my mind <br> Why is truth so hard to find in this world <br> Yeah in this world <br> 'Cause I am due for a miracle <br> I'm waiting for a sign <br> I'll stare straight into the sun <br> And I won't close my eyes <br> Till I understand or go blind (till I understand or go blind) <br> I know that there's a point I've missed <br> A shrine or stone I haven't kissed <br> A scar that never graced my wrist <br> A mirror that hasn't met my fist <br> But I can't help feeling like I'm <br> Due for a miracle <br> I'm waiting for a sign (waiting for a sign) <br> I'll stare straight into the sun <br> And I won't close my eyes (and I won't close my eyes) <br> Due for a miracle <br> I'm waiting for a sign <br> I'll stare straight into the sun <br> And I won't close my eyes ",
30,The Artist In The Ambulance,2003,6,Paper Tigers,Dustin Kensrue,3M 59S,239S,"They preach to the choir, always in the permanent daylight <br>  They toss paper tigers from their perfect porcelain skylines <br> Listen for the sound (for the sound, for the sound), <br> as it all comes crashing down (as it all comes crashing down) <br> They preach to the choir, always in the permanent daylight <br> They toss paper tigers from their perfect, shatterproof spires <br> They light the world on fire, just to watch it burn <br> it'll be their funeral pyre, but they never seem to learn <br> Listen for the sound (for the sound, for the sound), <br> as it all comes crashing down (as it all comes crashing down) <br> And we paid the price, we paid for their crimes with our blood, <br> with our blood, with our blood, with our blood <br> Paid with our blood and our lives, <br> with our blood and our lives, <br> with our blood and our lives <br> with our blood and our lives, <br> with our blood and our lives",
31,The Artist In The Ambulance,2003,7,Hoods On Peregrine,Dustin Kensrue,3M 31S,211S,"The blue light spills like oceans <br> We smile and let it in <br> It cures us of our questions <br> Like hoods on peregrine <br> Knowledge locked in a tower <br> Barons will hold the key <br> But if knowledge is power, <br> Know this is tyranny <br>
All we're asking for is what's ours <br> You think they're selling you truth, <br> Truth is, they're selling you out <br> The truth, they're selling you out <br> The black ink fuels our notions <br> That all the facts are in <br> It cures us of our questions <br>
Like hoods on peregrine <br> Knowledge locked in a tower <br> Barons will hold the key <br> But if knowledge is power, <br> Know this is tyranny <br> All we're asking for is what's ours <br> You think they're selling you truth <br> But they're just  selling you <br> And if we keep buying in <br> The line between lies and truth <br> Will wear paper thin, <br> Paper thin <br> You think they're selling you truth, <br> The truth is, they're selling you out",
32,The Artist In The Ambulance,2003,8,The Melting Point Of Wax,Dustin Kensrue,3M 29S,209S,"I've waited for this moment <br>  All my life and more <br> And now I see so clearly <br> What I could not see before. <br> The time is now or never <br> This chance won't come again <br> Throw caution and myself into the wind. <br> There's no promise of safety with these secondhand wings <br> But I'm willing to find out what impossible means. <br> A leap of faith. <br> Parody of an angel <br> Miles above the sea <br> I hear the voice of reason <br> Screaming after me <br> ""You've flown far too high boy now you're too close to the sun, <br> Soon your makeshift wings will come undone"" <br> But how will I know limits from lies if I never try? <br> There's no promise of safety with these secondhand wings <br> But I'm willing to find out what impossible means. <br> I'll climb through the heavens on feathers and dreams <br> 'Cause the melting point of wax means nothing to me. <br> Nothing to me <br> Nothing to me <br> I will touch the sun or I will die trying. <br> Die Trying. <br>
Fly on these secondhand wings <br> Willing to find out what impossible means <br> I'll climb through the heavens on feathers and dreams <br> 'Cause the melting point of wax means nothing to me <br> Nothing to me <br> Means nothing to me <br> 
Miles above the sea. ",
33,The Artist In The Ambulance,2003,9,Blood Clots And Black Holes,Dustin Kensrue,2M 49S,169S,"Here's your new drug <br> Shoot it in the left eye <br> Feel it on the right side <br> No it's not love <br> Though it sets up shop behind your ribcage <br> Building blood clots and black holes <br> Like using an axe to pull <br> A sliver from your skin <br> 
 And they say this is medicine <br> An overdose of oxygen <br> A severed head as sedative <br> To be at peace would be a sin <br> And surely un-american <br> I'm breaking <br> Here's your new blood <br> Transfusion took us all night <br> Tell us that you're all right <br> No it's not love <br> Though feels like fire inside of your veins <br> Burning right beneath the wrist <br> Begging for a razor's kiss <br> To free it from your skin <br> And they say this is medicine <br> An overdose of oxygen <br> 
A severed head as sedative <br> To be at peace would be a sin <br> And surely unamerican <br> I'm breaking down <br> Lift the veil, it's not medicine <br> And my heart fails, time and time again",
